City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,quellon,-43.1167,-73.6167,41.25,93,100,2.3,CL,2023-05-28 18:59:18
131,alamosa,37.4695,-105.87,73.38,13,0,3.44,US,2023-05-28 18:58:14
132,whakatane,-37.9585,176.9854,65.52,88,100,10.0,NZ,2023-05-28 18:59:19
133,paredon,16.0333,-93.8667,88.61,55,6,9.22,MX,2023-05-28 18:59:19
134,carnarvon,-24.8667,113.6333,68.83,27,100,9.31,AU,2023-05-28 18:59:19
135,kempsey,-31.0833,152.8333,56.95,69,3,1.99,AU,2023-05-28 18:59:20
136,isafjordur,66.0755,-23.124,44.94,95,100,4.23,IS,2023-05-28 18:59:20
137,avarua,-21.2078,-159.775,80.65,89,20,12.66,CK,2023-05-28 18:59:20
138,malanje,-9.5402,16.341,63.9,98,56,4.65,AO,2023-05-28 18:59:21
139,adrar,20.5022,-10.0711,86.56,34,23,10.69,MR,2023-05-28 18:59:21
140,bocas del toro,9.3333,-82.25,78.06,71,83,4.38,PA,2023-05-28 18:58:23
141,tura,25.5198,90.2201,72.93,73,0,3.74,IN,2023-05-28 18:59:22
142,luorong,24.4058,109.6086,79.16,86,0,1.61,CN,2023-05-28 18:59:22
143,cabedelo,-6.9811,-34.8339,79.47,86,73,11.23,BR,2023-05-28 18:59:22
144,thompson,55.7435,-97.8558,62.76,100,100,3.44,CA,2023-05-28 18:59:22
145,ust-nera,64.5667,143.2,51.46,40,99,2.55,RU,2023-05-28 18:59:23
146,riviere-du-loup,47.8304,-69.5342,66.47,32,4,9.22,CA,2023-05-28 18:59:23
147,hawaiian paradise park,19.5933,-154.9731,80.11,75,75,11.5,US,2023-05-28 18:59:23
148,taltal,-25.4,-70.4833,64.15,78,36,3.71,CL,2023-05-28 18:59:24
149,meadowbrook,33.4021,-86.6966,80.71,59,75,5.75,US,2023-05-28 18:59:24
150,kirakira,-10.4544,161.9205,84.24,69,98,10.83,SB,2023-05-28 18:59:24
151,lalgola,24.4167,88.25,83.32,53,0,5.68,IN,2023-05-28 18:59:25
152,sabang,5.8933,95.3214,83.55,74,95,22.93,ID,2023-05-28 18:59:25
153,guerrero negro,27.9769,-114.0611,67.12,60,1,19.17,MX,2023-05-28 18:54:51
154,khorixas,-20.3667,14.9667,47.28,92,7,3.62,NA,2023-05-28 18:59:25
155,urangan,-25.3,152.9,59.22,52,1,12.46,AU,2023-05-28 18:59:26
156,holualoa,19.6228,-155.9522,78.64,76,75,12.66,US,2023-05-28 18:59:26
157,severo-yeniseyskiy,60.3725,93.0408,45.75,72,47,2.3,RU,2023-05-28 18:59:26
158,rio san juan,19.6439,-70.0763,85.15,82,100,11.45,DO,2023-05-28 18:59:27
159,goure,13.9835,10.2704,85.71,12,86,7.65,NE,2023-05-28 18:59:27
160,kadnikov,59.5022,40.338,45.43,73,98,6.02,RU,2023-05-28 18:59:28
161,lorengau,-2.0226,147.2712,83.48,79,100,9.57,PG,2023-05-28 18:59:28
162,merizo village,13.2658,144.6691,83.93,85,93,15.73,GU,2023-05-28 18:59:29
163,lihue,21.9789,-159.3672,78.04,80,100,8.05,US,2023-05-28 18:59:29
164,podborany,50.2294,13.4119,58.59,80,0,2.82,CZ,2023-05-28 18:59:29
165,rawson,-43.3002,-65.1023,47.26,38,90,1.43,AR,2023-05-28 18:59:29
166,toliara,-23.35,43.6667,69.35,61,26,7.94,MG,2023-05-28 18:59:30
167,port saint john's,-31.6229,29.5448,69.98,69,96,5.06,ZA,2023-05-28 18:59:30
168,ghat,24.9647,10.1728,83.7,17,3,8.86,LY,2023-05-28 18:59:30
169,es castell,39.8795,4.2854,65.08,100,40,6.91,ES,2023-05-28 18:59:31
170,chikwawa,-16.0335,34.8009,64.38,71,13,1.95,MW,2023-05-28 18:59:31
171,nezhinka,51.7676,55.3694,62.76,45,0,8.95,RU,2023-05-28 18:59:31
172,aasiaat,68.7098,-52.8699,22.01,74,35,2.82,GL,2023-05-28 18:59:32
173,selfoss,63.9331,-20.9971,48.04,98,100,10.63,IS,2023-05-28 18:59:32
174,q'vareli,41.9549,45.8172,67.46,63,98,4.76,GE,2023-05-28 18:58:22
175,mora,11.0461,14.1401,86.83,51,100,5.73,CM,2023-05-28 18:59:32
176,al bawiti,28.3492,28.8659,72.18,51,1,12.06,EG,2023-05-28 18:59:33
177,korla,41.7597,86.1469,59.41,63,62,2.71,CN,2023-05-28 18:59:33
178,ulety,51.3572,112.4849,46.38,66,0,5.88,RU,2023-05-28 18:59:33
179,nemuro,43.3236,145.575,49.08,97,95,5.64,JP,2023-05-28 18:59:33
180,whitehorse,60.7161,-135.0538,53.1,46,100,13.8,CA,2023-05-28 18:54:53
181,manado,1.487,124.8455,75.97,88,20,4.61,ID,2023-05-28 18:57:02
182,cuamba,-14.8031,36.5372,59.94,72,57,2.08,MZ,2023-05-28 18:59:34
183,waingapu,-9.6567,120.2641,74.64,84,4,8.81,ID,2023-05-28 18:58:21
184,haapajarvi,63.75,25.3333,42.46,93,86,7.67,FI,2023-05-28 18:59:35
185,thunder bay,48.4001,-89.3168,69.71,40,75,10.36,CA,2023-05-28 18:58:28
186,baskale,38.0453,44.0172,48.61,73,100,5.32,TR,2023-05-28 18:59:35
187,haiku-pauwela,20.9219,-156.3051,84.22,48,40,17.27,US,2023-05-28 18:59:35
188,nizhneudinsk,54.9076,99.0276,47.26,62,100,2.98,RU,2023-05-28 18:59:36
189,klyuchi,52.2667,79.1667,53.6,45,70,3.58,RU,2023-05-28 18:58:17
190,arkhangel'sk,64.5401,40.5433,45.72,50,0,4.59,RU,2023-05-28 18:59:37
191,zmeinogorsk,51.1567,82.195,40.05,88,80,3.78,RU,2023-05-28 18:59:37
192,lucapa,-8.4192,20.7447,66.42,39,60,3.11,AO,2023-05-28 18:59:37
193,geraldton,-28.7667,114.6,55.81,50,100,16.11,AU,2023-05-28 18:59:38
194,berberati,4.2612,15.7922,69.04,99,100,3.27,CF,2023-05-28 18:59:38
195,barra de santo antonio,-9.4047,-35.5072,76.28,83,59,6.73,BR,2023-05-28 18:59:38
196,xapuri,-10.6517,-68.5044,74.35,97,99,2.66,BR,2023-05-28 18:59:38
197,gisborne,-38.6533,178.0042,57.87,88,100,14.45,NZ,2023-05-28 18:59:39
198,antsiranana,-12.2787,49.2917,75.0,74,0,11.27,MG,2023-05-28 18:59:39
199,odienne,9.51,-7.5692,80.42,67,93,3.74,CI,2023-05-28 18:59:39
200,lebu,-37.6167,-73.65,48.29,75,100,6.76,CL,2023-05-28 18:59:39
201,new norfolk,-42.7826,147.0587,48.7,63,91,4.0,AU,2023-05-28 18:59:40
202,wynnum,-27.45,153.1667,63.09,53,0,9.22,AU,2023-05-28 18:59:40
203,skiathos,39.1623,23.4909,63.97,75,5,9.24,GR,2023-05-28 18:59:40
204,jieshi,22.8134,115.8257,77.38,79,0,2.73,CN,2023-05-28 18:59:40
205,mount pearl,47.5166,-52.7813,59.34,57,75,21.85,CA,2023-05-28 18:59:41
206,luderitz,-26.6481,15.1594,52.38,85,39,8.5,NA,2023-05-28 18:59:41
207,la passe,45.5549,-0.8967,68.23,90,10,8.16,FR,2023-05-28 18:59:41
208,talnakh,69.4865,88.3972,41.47,82,65,7.61,RU,2023-05-28 18:59:41
209,kerikeri,-35.2268,173.9474,68.92,93,12,1.99,NZ,2023-05-28 18:58:21
210,majene,-3.5403,118.9707,77.65,85,31,7.7,ID,2023-05-28 18:59:42
211,pachperwa,27.5167,82.65,82.2,50,2,5.23,IN,2023-05-28 18:59:42
212,abashiri,44.0213,144.2697,49.98,97,53,5.48,JP,2023-05-28 18:59:42
213,tordesillas,41.5103,-5.0082,59.07,89,99,5.41,ES,2023-05-28 18:59:43
214,margate,51.3813,1.3862,53.91,76,79,14.0,GB,2023-05-28 18:59:43
215,belyy yar,53.6039,91.3903,53.49,43,0,6.71,RU,2023-05-28 18:59:43
216,bathsheba,13.2167,-59.5167,83.01,74,20,11.5,BB,2023-05-28 18:59:44
217,poso,-1.3959,120.7524,79.14,80,13,4.5,ID,2023-05-28 18:59:44
218,baukau,51.5526,7.2042,60.91,56,56,8.3,DE,2023-05-28 18:59:44
219,kalmunai,7.4167,81.8167,81.48,80,85,2.1,LK,2023-05-28 18:59:45
220,hamilton,39.1834,-84.5333,75.97,56,100,5.75,US,2023-05-28 18:57:46
221,matriz de camaragibe,-9.1517,-35.5333,76.44,93,58,2.08,BR,2023-05-28 18:59:45
222,rio grande,-32.035,-52.0986,53.71,61,27,8.63,BR,2023-05-28 18:59:45
223,morehead city,34.7229,-76.726,75.25,90,100,8.05,US,2023-05-28 18:59:46
224,palo santo,-25.5633,-59.3378,60.24,78,31,5.97,AR,2023-05-28 18:59:46
225,ta`u,-14.2336,-169.5144,82.85,77,85,13.91,AS,2023-05-28 18:59:46
226,vorgashor,67.5833,63.95,40.32,81,27,7.11,RU,2023-05-28 18:59:46
227,minas de marcona,-15.2119,-75.1103,59.7,87,72,11.27,PE,2023-05-28 18:59:47
228,saint-francois,46.4154,3.9054,62.96,84,0,1.14,FR,2023-05-28 18:59:47
229,angaur state,6.906,134.13,84.15,77,99,14.43,PW,2023-05-28 18:59:47
230,qazvin,36.2797,50.0049,62.22,55,0,0.0,IR,2023-05-28 18:59:47
231,gwadar,25.1216,62.3254,83.77,87,1,4.94,PK,2023-05-28 18:59:48
232,cabo san lucas,22.8909,-109.9124,88.61,60,1,14.74,MX,2023-05-28 18:59:48
233,pocklington,53.9334,-0.7811,50.18,86,94,6.31,GB,2023-05-28 18:59:48
234,namibe,-15.1961,12.1522,63.72,75,12,14.9,AO,2023-05-28 18:59:48
235,margaret river,-33.95,115.0667,54.7,88,100,6.2,AU,2023-05-28 18:59:49
236,hasaki,35.7333,140.8333,71.22,93,100,8.84,JP,2023-05-28 18:59:49
237,bowral,-34.4667,150.4167,52.99,70,55,12.95,AU,2023-05-28 18:59:49
238,port elizabeth,-33.918,25.5701,61.32,91,20,8.05,ZA,2023-05-28 18:59:49
239,bredasdorp,-34.5322,20.0403,57.38,87,67,14.27,ZA,2023-05-28 18:59:50
240,udachny,66.4167,112.4,57.45,43,99,3.24,RU,2023-05-28 18:59:50
241,tralee,52.2704,-9.7026,49.26,89,12,5.99,IE,2023-05-28 18:59:50
242,manali,13.1667,80.2667,87.89,88,99,8.81,IN,2023-05-28 18:59:51
243,usogorsk,63.4106,48.6872,49.68,81,100,7.65,RU,2023-05-28 18:59:51
244,strezhevoy,60.7333,77.5889,53.38,63,37,9.66,RU,2023-05-28 18:59:51
245,naze,28.3667,129.4833,74.32,95,66,7.63,JP,2023-05-28 18:59:51
246,porto novo,6.4965,2.6036,84.02,88,100,7.16,BJ,2023-05-28 18:58:19
247,callao,-12.0667,-77.15,72.72,73,100,10.36,PE,2023-05-28 18:59:52
